Location,Plot,Entry,envi,Genotype,Source,CL,CW,CWT,DTA,DTS,EH,EL,EWT,GWT,KD,KRN,PHt
Minnesota,106061,Inbred012,105,Mo17,"NIL2613-3,5,8",157.400625,18.74161578,9.415,65,66,90.41666667,155.3553958,103.22,93.805,4.897929625,11.1,181.3333333
Minnesota,106055,Inbred014,105,B004,NIL2704-1,128.6263056,25.25200972,15.775,67.5,67.5,85.83333333,125.1868986,126.2916667,110.5166667,4.252321597,18.33333333,178.6666667
Minnesota,106058,Inbred015,105,B040,NIL2740-4,118.6321111,22.96054167,13.225,67,66.5,85.83333333,114.9043083,101.5833334,88.35833334,4.19527743,16.3,180
Minnesota,106065,Inbred016,105,B043,NIL2743-1,101.7481667,20.67732861,8.891666667,67,66.5,85.43333333,97.30713542,68.075,59.18333334,4.522540556,14.66666667,158.6666667
Minnesota,106067,Inbred017,105,B049,NIL2749-1,114.4023056,26.87672778,17.79166667,67.5,66.5,103.1666667,113.1120208,103.0916667,85.3,3.973097986,17,183.3333333
Minnesota,106074,Inbred018,105,B055,NIL2755-1,108.9518889,22.89007431,12.58333333,68,67.5,122,109.1265139,105.8833333,93.3,4.513562361,16.83333333,189.5
Minnesota,106080,Inbred019,105,B102,NIL2802-4,111.8287917,22.52477292,12.55833333,67.5,67,97.08333333,110.0049306,91.35,78.79166667,4.160784583,16.66666667,180.0833333
Minnesota,106054,Inbred020,105,B107,NIL2807-1,104.1205972,25.36930833,14.74166667,67.5,67.5,104.5833333,104.4001736,97.50833335,82.76666667,4.254217778,16.66666667,186.1
Minnesota,106077,Inbred021,105,B111,NIL2811-1,119.2953333,25.59085278,13.40000001,65.5,65.5,113.8333333,117.5984722,118.7,83.0000001,4.330241389,19,173.25
Minnesota,106081,Inbred022,105,B122,NIL2822-4,100.0424861,25.612725,11.90833334,67,66.5,115.3333333,98.9965,76.96666667,65.05833334,4.340648333,17,191.4833333
Minnesota,106064,Inbred023,105,B123,NIL2823-1,101.7516944,25.21017028,15.275,68,67.5,132.9833333,96.91863889,79.96666669,64.69166667,5.160627361,16.16666667,220.7
Minnesota,106078,Inbred024,105,B125,NIL2825-1,113.2434306,22.31576972,12.55,67,68.5,114.2,112.6063139,86.36666669,73.81666667,4.284371458,16.25,200.7833333
Minnesota,106079,Inbred025,105,B131,NIL2831-1,129.3283333,24.83784861,16.29166667,68.5,66.5,101.3333333,124.8454097,120.4416667,104.15,3.879611875,17.83333333,181.8333333
Minnesota,106071,Inbred026,105,B154,NIL2854-1,118.7026667,23.22565417,14.70833334,66,66,91.08333333,116.2623264,102.875,88.16666667,3.940712986,17.16666667,172.75
Minnesota,106072,Inbred027,105,B175,NIL2875-4,113.7831806,24.75723889,12.23333333,67,67,80.25,111.2096667,92.925,80.69166667,4.664321944,17.66666667,169.4166667
Minnesota,106073,Inbred028,105,B189,NIL2889-4,106.2788917,24.18866694,13.00166667,67,67,104.3333333,105.2967583,96.12666667,83.125,4.193375958,16.4,185.5833333
Minnesota,106082,Inbred029_33,105,B73,NIL2655-1-10,106.4923222,23.74819919,13.9925,67.5,67,110.8466667,104.3921303,94.82083332,80.82833333,4.331020675,16.77666667,186.8333333
